Unnamed: 0,date,pm10,traffic,wind
263,2018-09-20,8,11670471.28,0
264,2018-09-21,36,11701602.26,6
265,2018-09-22,34,11117069.49,31
266,2018-09-23,16,9689108.56,18
267,2018-09-24,15,10235413.12,30
268,2018-09-25,8,9298670.893,4
269,2018-09-26,9,9466304.51,0
270,2018-09-27,14,11388175.75,0
271,2018-09-28,16,11938281.39,0
272,2018-09-29,22,11415338.18,4
273,2018-09-30,18,10293103.84,27
274,2018-10-01,28,11659182.52,38
275,2018-10-02,29,11973522.3,29
276,2018-10-03,23,10824336.39,17
277,2018-10-04,11,11821453.74,0
278,2018-10-05,7,11658131.54,0
279,2018-10-06,29,10866405.06,7
280,2018-10-07,24,10334158.72,34
281,2018-10-08,29,11686317.97,21
282,2018-10-09,22,10732206.1,0
283,2018-10-10,19,11730934.05,21
284,2018-10-11,26,11906706.84,29
285,2018-10-12,35,12119408.48,17
286,2018-10-13,40,11749427.38,10
287,2018-10-14,61,10639876.81,20
288,2018-10-15,53,11605912.4,24
289,2018-10-16,40,11898610.83,30
290,2018-10-17,16,11890837.86,25
291,2018-10-18,20,11696730.42,0
292,2018-10-19,43,12018465.09,26
293,2018-10-20,41,11652084.79,21
294,2018-10-21,53,10699784.18,18
295,2018-10-22,52,11435959.52,9
296,2018-10-23,48,11784474.94,10
297,2018-10-24,43,11912438.3,27
298,2018-10-25,40,12074099.3,10
299,2018-10-26,30,11845803.7,20
300,2018-10-27,15,11789380.21,45
301,2018-10-28,18,10354756.51,5
302,2018-10-29,23,11723323.04,29
303,2018-10-30,23,11819041.63,36
304,2018-10-31,38,11795977.52,31
305,2018-11-01,48,11925170.32,17
306,2018-11-02,59,12000120.81,18
307,2018-11-03,48,11673980.62,19
308,2018-11-04,63,10644275.1,20
309,2018-11-05,88,11572876.68,21
310,2018-11-06,64,11716395.23,18
311,2018-11-07,9,11648787.18,8
312,2018-11-08,40,11328334.95,5
313,2018-11-09,71,11884597.82,40
314,2018-11-10,66,12243921.13,32
315,2018-11-11,33,11209568.2,6
316,2018-11-12,45,11808435.59,21
317,2018-11-13,38,11836912.79,20
318,2018-11-14,54,11844654.5,12
319,2018-11-15,60,11821147.15,13
320,2018-11-16,36,11915201.12,25
321,2018-11-17,41,11586887.25,35
322,2018-11-18,60,10436061.11,19
323,2018-11-19,50,11489214.44,18
324,2018-11-20,38,11686778.06,18
325,2018-11-21,24,11631788.71,11
326,2018-11-22,24,11727263.43,33
327,2018-11-23,24,11906204.06,24
328,2018-11-24,47,10720891.27,0
329,2018-11-25,62,10317246.36,4
330,2018-11-26,97,11382898.97,4
331,2018-11-27,100,11588728.2,13
332,2018-11-28,71,11707271.39,34
333,2018-11-29,60,11703663.97,15
334,2018-11-30,51,11974395.48,26
335,2018-12-01,54,11553514.86,12
336,2018-12-02,47,10389680.25,0
337,2018-12-03,37,10939163.31,12
338,2018-12-04,32,11510819.29,40
339,2018-12-05,41,11571283.26,17
340,2018-12-06,26,11653187.17,33
341,2018-12-07,26,11837109.5,35
342,2018-12-08,24,11168585.4,28
343,2018-12-09,36,9753988.413,28
344,2018-12-10,44,11211558.55,12
345,2018-12-11,48,11322591.03,9
