Unnamed: 0,date,pm10,traffic,wind
188,2018-07-07,12,11430288,0
189,2018-07-08,10,10165240,0
190,2018-07-09,24,11006504,0
191,2018-07-10,37,11330420,0
192,2018-07-11,29,11509220,18
193,2018-07-12,24,11622815,36
194,2018-07-13,22,11904489,34
195,2018-07-14,24,11441083,36
196,2018-07-15,29,10179987,30
197,2018-07-16,34,11400184,38
198,2018-07-17,40,11570730,43
199,2018-07-18,33,11660047,31
200,2018-07-19,40,11749791,35
201,2018-07-20,43,11742424,34
202,2018-07-21,33,11314637,29
203,2018-07-22,37,9998947,28
204,2018-07-23,45,11241965,40
205,2018-07-24,37,11488594,25
206,2018-07-25,46,11553327,28
207,2018-07-26,53,11692972,30
208,2018-07-27,44,11748933,42
209,2018-07-28,19,11039779,18
210,2018-07-29,9,9989393,0
211,2018-07-30,19,11320239,0
212,2018-07-31,36,11553488,8
213,2018-08-01,45,11498488,24
214,2018-08-02,51,11426211,30
215,2018-08-03,31,11487180,25
216,2018-08-04,29,11671533,47
217,2018-08-05,35,9704408,46
218,2018-08-06,21,10997931,32
219,2018-08-07,29,11276164,17
220,2018-08-08,29,11401682,37
221,2018-08-09,15,11409963,34
222,2018-08-10,10,11713160,8
223,2018-08-11,15,11274201,1
224,2018-08-12,36,9929651,0
225,2018-08-13,30,11294164,18
226,2018-08-14,32,11650734,18
227,2018-08-15,16,10398803,1
228,2018-08-16,13,11535019,0
229,2018-08-17,18,11665465,0
230,2018-08-18,26,11273873,6
231,2018-08-19,42,9962233,10
232,2018-08-20,26,11251427,4
233,2018-08-21,28,11268661,25
234,2018-08-22,13,11373348,0
235,2018-08-23,8,11074968,0
236,2018-08-24,27,10863038,26
237,2018-08-25,20,11383087,29
238,2018-08-26,9,10106871,4
239,2018-08-27,11,10936844,0
240,2018-08-28,14,10988534,0
241,2018-08-29,31,11047838,12
242,2018-08-30,28,11359491,20
243,2018-08-31,21,11721745,34
244,2018-09-01,14,11293150,2
245,2018-09-02,16,10204590,0
246,2018-09-03,18,11050755,6
247,2018-09-04,31,11487966,31
248,2018-09-05,42,11709850,40
249,2018-09-06,30,11724151,13
250,2018-09-07,28,11916127,27
251,2018-09-08,25,11696764,18
252,2018-09-09,12,10449544,6
253,2018-09-10,13,11620661,0
254,2018-09-11,17,11822680,0
255,2018-09-12,22,11838343,4
256,2018-09-13,21,11928081,0
257,2018-09-14,13,11898549,0
258,2018-09-15,42,11418219,11
259,2018-09-16,33,10584482,42
260,2018-09-17,41,11595080,42
261,2018-09-18,45,11922278,28
262,2018-09-19,17,11979835,8
263,2018-09-20,8,11670471,0
264,2018-09-21,36,11701602,6
265,2018-09-22,34,11117069,31
266,2018-09-23,16,9689108,18
267,2018-09-24,15,10235413,30
268,2018-09-25,8,9298670,4
269,2018-09-26,9,9466304,0
270,2018-09-27,14,11388175,0
271,2018-09-28,16,11938281,0
272,2018-09-29,22,11415338,4
273,2018-09-30,18,10293103,27
274,2018-10-01,28,11659182,38
275,2018-10-02,29,11973522,29
276,2018-10-03,23,10824336,17
